id,name,zone,line_name,opened,nightopened,closed,geometry
940GZZLUBSC,Barons Court,2,District,,,,POINT (-0.213748788832051 51.490259896753564)
940GZZLUBSC,Barons Court,2,Piccadilly,,2016.0,,POINT (-0.213748788832051 51.490259896753564)
940GZZLUBST,Baker Street,1,Bakerloo,,,,POINT (-0.155511988795233 51.52250079677203)
940GZZLUBST,Baker Street,1,Hammersmith & City,,,,POINT (-0.155511988795233 51.52250079677203)
940GZZLUBST,Baker Street,1,Circle,,,,POINT (-0.155511988795233 51.52250079677203)
940GZZLUBST,Baker Street,1,Jubilee,,2016.0,,POINT (-0.155511988795233 51.52250079677203)
940GZZLUBST,Baker Street,1,Metropolitan,,,,POINT (-0.155511988795233 51.52250079677203)
940GZZLUBTK,Burnt Oak,4,Northern,,2016.0,,POINT (-0.263952188799229 51.60284489682383)
940GZZLUBTX,Brent Cross,3,Northern,,2016.0,,POINT (-0.213553288792063 51.5767001968066)
940GZZLUBWR,Bow Road,2,District,,,,POINT (-0.024841588744629 51.52687259677142)
940GZZLUBWR,Bow Road,2,Hammersmith & City,,,,POINT (-0.024841588744629 51.52687259677142)
940GZZLUBWT,Bayswater,1,District,,,,POINT (-0.18783688881208 51.5123329967665)
940GZZLUBWT,Bayswater,1,Circle,,,,POINT (-0.18783688881208 51.5123329967665)
940GZZLUBXN,Brixton,2,Victoria,,2016.0,,POINT (-0.11487200713231 51.46260625608806)
940GZZLUBZP,Belsize Park,2,Northern,,2016.0,,POINT (-0.16470418878582 51.55027509678925)
940GZZLUCAL,Chalfont & Latimer,8,Metropolitan,,,,POINT (-0.560820488885604 51.66804189687038)
940GZZLUCAR,Caledonian Road,2,Piccadilly,,2016.0,,POINT (-0.118367188769332 51.54837349678696)
940GZZLUCFM,Chalk Farm,2,Northern,,2016.0,,POINT (-0.153469988784411 51.54420179678525)
940GZZLUCGN,Covent Garden,1,Piccadilly,,2016.0,,POINT (-0.124196088787904 51.51305999676551)
940GZZLUCGT,Canning Town,2/3,Jubilee,,2016.0,,POINT (0.008170711261506 51.51403969676269)
940GZZLUCHL,Chancery Lane,1,Central,,2016.0,,POINT (-0.112121388781055 51.51811159676832)
940GZZLUCHX,Charing Cross,1,Bakerloo,,,,POINT (-0.127361788791746 51.50733539676211)
940GZZLUCHX,Charing Cross,1,Northern,,2016.0,,POINT (-0.127361788791746 51.50733539676211)
940GZZLUCKS,Cockfosters,5,Piccadilly,,2016.0,,POINT (-0.149350288733234 51.651605096851206)
940GZZLUCND,Colindale,4,Northern,,2016.0,,POINT (-0.24978328879726 51.59534909681889)
940GZZLUCPC,Clapham Common,2,Northern,,2016.0,,POINT (-0.137588488816646 51.46198609673468)
940GZZLUCPK,Canons Park,5,Jubilee,,2016.0,,POINT (-0.294744288808776 51.60775649682753)
940GZZLUCPN,Clapham North,2,Northern,,2016.0,,POINT (-0.129898388812328 51.46511779673645)
940GZZLUCPS,Clapham South,2/3,Northern,,2016.0,,POINT (-0.147584288824662 51.452762896729304)
940GZZLUCSD,Colliers Wood,3,Northern,,2016.0,,POINT (-0.178090488852156 51.418115096708874)
940GZZLUCSM,Chesham,9,Metropolitan,,,,POINT (-0.61092998888895 51.705389596894854)
940GZZLUCST,Cannon Street,1,District,,,,POINT (-0.090323188776073 51.511391296763705)
940GZZLUCST,Cannon Street,1,Circle,,,,POINT (-0.090323188776073 51.511391296763705)
940GZZLUCTN,Camden Town,2,Northern,,2016.0,,POINT (-0.142556588782758 51.538940396781776)
940GZZLUCWL,Chigwell,4,Central,,,,POINT (0.074748211334469 51.61782649682384)
940GZZLUCWP,Chiswick Park,3,District,,,,POINT (-0.268121488850621 51.494579396757295)
940GZZLUCWR,Canada Water,2,Jubilee,,2016.0,,POINT (-0.0493 51.498)
940GZZLUCXY,Croxley,7,Metropolitan,,,,POINT (-0.441666888847873 51.647149196855004)
940GZZLUCYD,Chorleywood,7,Metropolitan,,,,POINT (-0.518355788874949 51.65418089686091)
940GZZLUCYF,Canary Wharf,2,Jubilee,,2016.0,,POINT (-0.018611977529369 51.50354062701804)
940GZZLUDBN,Debden,6,Central,,,,POINT (0.083573311350541 51.64529289684032)
940GZZLUDGE,Dagenham East,5,District,,,,POINT (0.165641611332865 51.54415999677582)
940GZZLUDGY,Dagenham Heathway,5,District,,,,POINT (0.147699911325228 51.541672196774975)
940GZZLUDOH,Dollis Hill,3,Jubilee,,2016.0,,POINT (-0.239229088813149 51.55207969679201)
940GZZLUEAC,Elephant & Castle,1/2,Bakerloo,,,,POINT (-0.100544988787323 51.49538329675418)
940GZZLUEAC,Elephant & Castle,1/2,Northern,,,,POINT (-0.100544988787323 51.49538329675418)
940GZZLUEAC,Elephant & Castle,1/2,National Rail,,,,POINT (-0.100544988787323 51.49538329675418)
940GZZLUEAE,Eastcote,5,Metropolitan,,,,POINT (-0.397074988862522 51.57660779681029)
940GZZLUEAE,Eastcote,5,Piccadilly,,,,POINT (-0.397074988862522 51.57660779681029)
940GZZLUEAN,East Acton,2,Central,,2016.0,,POINT (-0.247572188832545 51.51686919677056)
940GZZLUEBY,Ealing Broadway,3,Central,,2016.0,,POINT (-0.30154338885404 51.5152)
940GZZLUEBY,Ealing Broadway,3,District,,,,POINT (-0.30154338885404 51.5152)
940GZZLUECM,Ealing Common,3,District,,,,POINT (-0.288181188851188 51.50990669676708)
940GZZLUECM,Ealing Common,3,Piccadilly,,,,POINT (-0.288181188851188 51.50990669676708)
940GZZLUECT,Earl's Court,1/2,District,,,,POINT (-0.194168088824117 51.49148169675391)
940GZZLUECT,Earl's Court,1/2,Piccadilly,,2016.0,,POINT (-0.194168088824117 51.49148169675391)
940GZZLUEFY,East Finchley,3,Northern,,2016.0,,POINT (-0.165218588768774 51.58756629681215)
940GZZLUEGW,Edgware,5,Northern,,2016.0,,POINT (-0.275503688798539 51.613989296830965)
940GZZLUEHM,East Ham,3/4,District,,,,POINT (0.052011411289357 51.5392428967767)
940GZZLUEHM,East Ham,3/4,Hammersmith & City,,,,POINT (0.052011411289357 51.5392428967767)
